1路↑ 香洲-南坑-桃园新村-银桦新村-新村-南村-香洲区府-仁恒星园-安居园-新香洲万家-上冲-明珠北-翠微-招商花园城南-海纳石鸣苑-中山亭-瀚林苑-前山-银石雅园-兰埔-北岭-华侨宾馆-华润万家-拱北:{6:20-0:25}
1路↓ 拱北-拱北口岸-口岸广场-华润万家-华侨宾馆-北岭-兰埔-圆明新园-银石雅园-前山-瀚林苑-中山亭-海纳石鸣苑-招商花园城南-翠微-明珠北-上冲-新香洲万家-安居园-仁恒星园-香洲区府-南村-新村-银桦新村-桃园新村-南坑-香洲:{6:20-0:25}
观光01线↑ 石景山-九洲城-吉大-中电大厦-白莲洞公园-竹苑-兰圃-圆明新园-银石雅园-前山西门-明珠商业广场-翠景工业区-翠薇-明珠北-上涌村-公交花园-长沙-梅溪牌坊-农科奇观-东坑新村-东坑公园-绿知农庄-东坑市场-东坑-凤凰山-普陀寺:{06:45}
25↓ 屏北三路西-广昌-翠湾-卡都九洲-南屏果场-广生-珠光汽车公司-蓝溪枫景-南屏水库-泰桦广场-南屏中学-南泉路口-南屏街口-华发新城-前山桥东-银石雅园-兰埔-竹苑-白莲洞公园-建业一路-中电大厦-吉大-九洲城-烟墩山-君怡花园-海洲路口-九洲新村-洲仔-九洲港 :{九洲港6:15-22:50}
26↑ 九洲港-九洲花园-度假村-华景花园-水湾北-吉大-九洲城-海滨公园-公积金中心-湾仔沙-百货公司-邮政大厦-翠香中-安平大厦-香洲-888街-农信大厦-名街花园-金桦花园-行政服务中心-梅华中-一中高中部-勇达大厦-交警支队-公安村-梅溪牌坊-农科奇观-东坑新村-东坑公园-东坑市场-东坑-凤凰山-普陀寺 :{6:20-22:00}
26↓ 普陀寺-凤凰山-东坑-东坑市场-东坑公园-东坑新村-农科奇观-梅溪牌坊-公安村-交警支队-勇达大厦-一中高中部-梅华中-行政服务中心-金桦花园-名街花园-农信大厦-888街-香洲-安平大厦-翠香中-邮政大厦-百货公司-湾仔沙-公积金中心-海滨公园-九洲城-吉大-水湾北-华景花园-度假村-九洲花园-石花东-九洲港 :{九洲港6:20-22:00}
30↑ 拱北口岸-口岸广场-华润万家-凉粉桥-桂花中-桂花北-兰埔-圆明新园-银石雅园-前山西门-荣岱市场-一小荣泰分校-福石-中臣花园-格力电器-格力康乐园 :{6:30-21:30}
30↓ 格力康乐园-南沙湾-格力电器-中臣花园-福石-一小荣泰分校-荣岱市场-前山西门-银石雅园-兰埔-桂花北-桂花中-凉粉桥-华润万家-拱北口岸 :{拱北口岸6:30-21:30}
31↑ 拱北-拱北口岸-口岸广场-华润万家-凉粉桥-合罗山-供水总公司-银石雅园南-前山西门-明珠商业广场-翠景工业区-翠微-明珠北-上冲客运中心-公交花园-长沙圩-坦洲路口-南溪-沥溪-和平市场-界涌工业区-界涌-界涌北-华财古玩城 :{6:30-22:20}
31↓ 华财古玩城-界涌北-界涌-界涌工业区-和平市场-沥溪-南溪-坦洲路口-上冲检查站-长沙圩-公交花园-上冲客运中心-明珠北-翠微-翠景工业区-明珠商业广场-前山西门-银石雅园南-供水总公司-合罗山-凉粉桥-华润万家-拱北 :{拱北6:30-22:20}
32↑ 拱北-拱北口岸-口岸广场-华润万家-华侨宾馆-北岭-隧道南-柠溪-香宁花园-南香里-桃园新村-南坑-香洲-紫荆园-梅华东-华子石西-华子石东-中大五院-水拥坑-契爷岭-神前总站 :{6:15-0:35}
32↓ 神前总站-美丽湾-契爷岭-水拥坑-中大五院-华子石东-凤凰桥头-为农市场-紫荆园-香洲-南坑-桃园新村-南香里-香宁花园-柠溪-隧道南-北岭-华侨宾馆-华润万家-拱北 :{拱北6:15-0:35}
33↑ 拱北-拱北口岸-口岸广场-华润万家-华侨宾馆-北岭-隧道南-隧道北-石竹苑-公交新村-南村东-香华东-香华中-体育中心南-红山北-富康花园-旺角百货-葵竹苑-勇达大厦-恒雅名园-长沙圩-上冲检查站 :{6:20-22:35}
33↓ 上冲检查站-恒雅名园-勇达大厦-葵竹苑-旺角百货-富康花园-红山北-体育中心南-香华中-香华东-公交新村-石竹苑-隧道北-隧道南-北岭-华侨宾馆-华润万家-拱北 :{拱北6:20-22:35}
34↑ 拱北口岸-口岸广场-华润万家-凉粉桥-合罗山-供水总公司-婆石-海荣新村-前山桥东-华发新城-北山-南屏街口-南泉路口-南屏中学-泰桦广场-南屏水库-蓝溪枫景-珠光汽车公司-广生-南屏果场-卡都九洲-翠湾-屏北三路中 :{拱北6:30-21:30}
34↓ 屏北三路中-进成公司-屏北三路西-广昌-翠湾-卡都九洲-南屏果场-广生-珠光汽车公司-蓝溪枫景-南屏水库-泰桦广场-南屏中学-南泉路口-南屏街口-北山-华发新城-前山桥东-海荣新村-婆石-供水总公司-合罗山-凉粉桥-华润万家-拱北口岸 :{拱北6:30-21:30}
35↑ 跨境工业区-侨光西-华骏大酒店-拱北口岸-口岸广场-华润万家-华侨宾馆-北岭-隧道南-武警支队-卓雅花园-暨大北门-凤山工业城-招商花园城-翠花苑-红山修理厂-华翠豪庭-红山路南-行政服务中心-梅华中-一中高中部-特警支队-梅界路口-公安村 :{6:30-21:25}
35↓ 公安村-梅界路口-特警支队-一中高中部-梅华中-行政服务中心-红山路南-华翠豪庭-红山修理厂-翠花苑-招商花园城-凤山工业城-暨大北门-卓雅花园-武警支队-隧道南-北岭-华侨宾馆-华润万家-华骏大酒店-侨光西-跨境工业区 :{跨境工业区6:30-21:25}
36↑ 普陀寺-凤凰山-东坑-东坑市场-东坑公园-东坑新村-农科奇观-梅溪牌坊-长沙-长沙圩-公交花园-上冲客运中心-明珠北-翠微-翠景工业区-明珠商业广场-前山西门-海荣新村-港昌中-拱北工商分局-侨光小学-粤华西-夏湾新村-炮台山公园-拱北医院-新市花园-银都-粤海东-观澳平台 :{6:15-21:35}
36↓ 观澳平台-口岸广场-水湾路南-粤海东-银都-新市花园-拱北医院-炮台山公园-夏湾新村-粤华西-侨光小学-拱北工商分局-港昌中-海荣新村-明珠山庄-前山西门-明珠商业广场-翠景工业区-翠微-明珠北-上冲客运中心-公交花园-长沙-梅溪牌坊-农科奇观-东坑新村-东坑公园-东坑市场-东坑-凤凰山-普陀寺 :{普陀寺6:15-21:35}
40↑ 上冲检查站-长沙圩-公交花园-上冲客运中心-明珠北-翠微-翠景工业区-明珠商业广场-前山西门-银石雅园-兰埔-竹苑-白莲洞公园-建业一路-中电大厦-吉大-九洲城-吉大总站 :{6:15-22:45}
40↓ 吉大总站-九洲城-吉大-中电大厦-白莲洞公园-竹苑-兰埔-圆明新园-银石雅园-前山西门-明珠商业广场-翠景工业区-翠微-明珠北-上冲客运中心-公交花园-长沙圩-上冲检查站 :{上冲检查站6:15-22:45}
41↑ 上冲总站-翠屏路-上冲客运中心-公交花园-长沙-金邦达公司-福溪-园艺研究院-福溪工业区-福溪北 :{6:10-21:15}
41↓ 福溪北-福溪工业区-园艺研究院-福溪-金邦达公司-长沙-长沙圩-公交花园-上冲客运中心-翠屏路-上冲总站 :{上冲总站6:10-21:15}
42↑ 格力康乐园-南沙湾-格力电器-中臣花园-福石-造贝-莲塘-翠景工业区-翠微-明珠北-上冲客运中心-公交花园-长沙圩-南坦路东-金山城-七村-汇翠山庄-汇翠山庄里 :{6:20-21:25}
42↓ 汇翠山庄里-汇翠山庄-七村-金山城-同胜工业区-南坦路东-上冲检查站-长沙圩-公交花园-上冲客运中心-明珠北-翠微-翠景工业区-莲塘-造贝-福石-中臣花园-格力电器-格力康乐园 :{格力康乐园6:20-21:25}
43↑ 上冲总站-翠屏路-上冲-新香洲万家-安居园-仁恒星园-香洲区府-南村-新村-保健院-警察学校-胡湾里-二中-公积金中心-海滨公园-九洲城-中医院-信海大厦-海滨南-吉大总站 :{6:25-21:35}
