1路 淮西客运站-市中级法院-公交修造厂-段南新村-段庄-矿务局-工人(口腔)医院-市二院-古彭大厦-供销/华联大厦-万虹桥文化宫-火车东站:{5:45-00:30}
1路附 新一佳淮西店-段庄-段南新村-徐医附院西院-公交修造厂-市中级法院-淮西客运站-三环西路环岛-杏山工业园-开元四季花园:{6:20-17:30}
游1路↑ 矿大南湖校区-泉山公园-泉山法院-双山-风华园-矿业大学-候山窝-奎园西门-纪念塔-市四院-和平路-戏马台-市政府-中山堂-民主路小学-爱牙医院(市三院)-堤北-化机厂-电力医院-轻工路口-王场新村:{6:15-19:00}
游1路↓ 王场新村-王场新村东门-二环北路-堤北市场-堤北-爱牙医院(市三院)-民主路小学-中山堂-市政府-戏马台-和平路-市四院-纪念塔-奎园西门-侯山窝-矿业大学-风华园-双山-泉山法院-泉山公园-矿大南湖校区:{6:15-19:00}
2路 火车东站-天桥-铁路分局-南郊宾馆-师大北门-中医院-中山饭店-市交通银行-九州大厦-市一院-金地商都-北路口-火车西站-坝子街-市三院-烟厂-火车东站:{5:50-20:00}
游2路 建筑学院-师大新校-文沃市场-风华南苑-风华园-矿业大学-候山窝-奎园西门-纪念塔-市四院-和平路-南郊宾馆-袁桥(民主路)-开明市场-民主南路-文化宫-第三中学-延平路-牌楼-夹河街东口-第一中学-夹河街西口-欧洲商城-工商局-电视塔-云龙公园西门-体育场西门-云龙山隧道-滨湖公园东门-汉画像石馆-云龙山索道-金山公园-金泰小区-市财校-营房西门-营房东门-孟庄公寓-泰山汇景花园-大学城-矿业大学-翟山-翟山市场-铜山中学-师大新校-建筑学院:{6:00-19:00}
28↑ 贾汪-大李庄-小李庄-大杏窝-官口-电子厂-赵桥-江庄-垴埠-黄山-福林钢厂-龙山水泥厂-马鞍-焦化厂-万庄-祁庄-马园-郝家-蔡山-利国 :{6:00-17:50}
28↓ 利国-蔡山-郝家-马园-祁庄-万庄-焦化厂-马鞍-龙山水泥厂-福林钢厂-黄山-垴埠-江庄-赵桥-电子厂-官口-大杏窝-小李庄-大李庄-贾汪 :{6:00-17:50}
29↑ 火车东站-天桥东-九七医院-黄山加油站-黄山干休所-黄山垅-庆丰桥-乔家湖-长山村-大湖 :{6:00-18:40}
29↓ 大湖-长山村-乔家湖-庆丰桥-黄山垅-黄山干休所-黄山加油站-九七医院-天桥东-火车东站 :{6:00-18:40}
30↑ 火车东站-新建北村-堤北市场-化机厂-轻工路口-琵琶办事处-殷庄社区-金地五金城-彭场-琵琶村南-琵琶村北-轴承厂-万寨港-张圩子-中口镇 :{6:00-19:00}
30↓ 中口镇-张圩子-万寨港-轴承厂-琵琶村北-琵琶村南-彭场-金地五金城-殷庄社区-琵琶办事处-轻工路口-化机厂-堤北市场-新建北村-火车东站 :{6:00-19:00}
31↑ 新一佳(淮西店)-市六院-公交修造厂-淮西客运站-矿山医院-杏山子工业园-屯里-南望-汉王-纪庄-虎腰-白头-马庄矿 :{6:40-18:40}
31↓ 马庄矿-白头-虎腰-纪庄-汉王-南望-屯里-杏山子工业园-矿山医院-淮西客运站-公交修造厂-市六院-新一佳(淮西店) :{6:40-18:40}
32↑ 绿地世纪城-铁路民祥园-民祥园-民富园北门-金狮小区-袁桥(民主南路)-开明市场-中国人寿北-九州大厦-彭城饭店 :{6:30-19:30}
32↓ 彭城饭店-九州大厦-中国人寿北-开明市场-袁桥(民主南路)-金狮小区-民富园北门-民祥园-铁路民祥园-绿地世纪城 :{6:30-19:30}
